 STA130H1 - An Introduction to Statistical Reasoning and Data Science,
 STA197H1 - Thinking Better with Statistics,
 STA198H1 - Probabilities Everywhere,
 STA199H1 - Statistical Evidence: Truth or Myth? ,
 STA201H1 - Why Numbers Matter,
 STA220H1 - The Practice of Statistics I,
 STA221H1 - The Practice of Statistics II,STA220H1/ STA288H1/ PSY201H1/ GGR270H1/ EEB225H1
" STA237H1 - Probability, Statistics and Data Analysis I","(MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
" STA238H1 - Probability, Statistics and Data Analysis II",STA237H1/ STA247H1/ STA257H1
 STA247H1 - Probability with Computer Applications,"(MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1, CSC111H1/ CSC148H1"
 STA248H1 - Statistics for Computer Scientists,"STA237H1/ STA247H1/ STA257H1, CSC111H1/ CSC148H1"
 STA255H1 - Statistical Theory,"STA220H1/ STA221H1/ ECO220Y1, 70% or higher in MAT133Y1/ (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1"
 STA257H1 - Probability and Statistics I,MAT137Y1/ MAT157Y1
 STA261H1 - Probability and Statistics II,STA257H1
 JSC270H1 - Data Science I,"STA257H1, CSC207H1"
 STA288H1 - Statistics and Scientific Inquiry in the Life Sciences,BIO230H1/ BIO255H1
 STA299H1 - Research Opportunity Program,
 STA299Y1 - Research Opportunity Program,
 STA302H1 - Methods of Data Analysis I,"STA238H1/ STA248H1/ STA255H1/ STA261H1/ ECO227Y1, CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1, MAT223H1/ MAT224H1/ MAT240H1"
 STA303H1 - Methods of Data Analysis II,STA302H1
" STA304H1 - Surveys, Sampling and Observational Data",ECO227Y1/ STA255H1/ STA261H1/ STA248H1/ STA238H1
 STA305H1 - Design and Analysis of Experiments,STA302H1
 STA313H1 - Data Visualization,"CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1, STA238H1/ STA248H1/ STA261H1/ ECO227Y1"
 STA314H1 - Statistical Methods for Machine Learning I,"STA302H1, CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1, MAT223H1/ MAT224H1/ MAT240H1, MAT235Y1/ MAT237Y1/ MAT257Y1"
 STA347H1 - Probability,"70% or higher in STA247H1/ 70% or higher in STA255H1/ 70% or higher in STA237H1/ STA257H1/ ECO227Y1, MAT223H1/ MAT224H1/ MAT240H1, MAT235Y1/ MAT237Y1/ MAT257Y1"
 STA355H1 - Theory of Statistical Practice,"73% or higher in STA255H1/ 73% or higher in STA248H1/ 73% or higher in STA238H1/ 60% or higher in STA261H1/ 60% or higher in ECO227Y1, MAT235Y1/ MAT237Y1/ MAT257Y1, MAT223H1/ MAT224H1/ MAT240H1"
 STA365H1 - Applied Bayesian Statistics,STA302H1
 JSC370H1 - Data Science II,"JSC270H1, STA261H1, MAT237Y1/ MAT257Y1, CSC263H1/ CSC265H1, STA302H1, CSC343H1"
 STA398H0 - Research Excursions,
 STA398Y0 - Research Excursions,
 STA399H1 - Research Opportunity Program,
 STA399Y1 - Research Opportunity Program,
 STA410H1 - Statistical Computation,"STA302H1, CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1, MAT223H1/ MAT224H1/ MAT240H1"
 STA414H1 - Statistical Methods for Machine Learning II,"STA314H1/ CSC411H1/ CSC311H1, STA302H1, CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1, MAT235Y1/ MAT237Y1/ MAT257Y1, MAT223H1/ MAT224H1/ MAT240H1"
 STA422H1 - Theory of Statistical Inference,STA355H1
 STA437H1 - Methods for Multivariate Data,STA302H1
 STA442H1 - Methods of Applied Statistics,"STA303H1, CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1"
 STA447H1 - Stochastic Processes,STA347H1/ MAT377H1
 STA450H1 - Topics in Statistics,
 STA452H1 - Mathematical Statistics I,"MAT223H1/ MAT224H1/ MAT240H1, MAT235Y1/ MAT237Y1/ MAT257Y1, (STA257H1, STA355H1)/ STA347H1"
 STA453H1 - Mathematical Statistics II,STA452H1
 STA457H1 - Time Series Analysis,"STA302H1, MAT235Y1/ MAT237Y1/ MAT257Y1"
 STA465H1 - Theory and Methods for Complex Spatial Data,"STA302H1, STA303H1"
 JSC470H1 - Data Science III,"JSC370H1, STA314H1/ CSC411H1/ CSC311H1, STA303H1/ STA305H1"
 STA475H1 - Survival Analysis,STA303H1
 STA480H1 - Fundamentals of Statistical Genetics,STA303H1
" STA490Y1 - Statistical Consultation, Communication, and Collaboration","STA303H1, STA304H1/ STA305H1, STA355H1"
